SCN_ID	ROM_ID
0000	0001	Sabre
0001	01EF	DFlog
0002	0247	SHboulder
0003	0497	EarthQuakSpell
0004	FFFF	NULL
0005	0440	checkpoint4
0006	04D2	Override
0007	0436	SphereTest
0008	0476	XYZAnimator
0009	0486	EnergyGem1
000A	0493	Spellstone
000B	048C	meatPickup
000C	FFFF	NULL
000D	0441	setuppoint
000E	0450	animator
000F	0451	texscroll
0010	FFFF	NULL
0011	004C	ClubSharpClaw
0012	0071	generalscales
0013	0074	steggy
0014	0452	texscroll2
0015	0454	InfoPoint
0016	0075	Nutter
0017	0216	NWtree
0018	01F6	DFsequences
0019	01DF	DFanimhightop
001A	048F	PadlockKey
001B	0491	Dynamite
001C	04C4	fruitBranchColle
001D	0009	Fishingnet
001E	04D1	AnimCamera
001F	0002	Krystal
0020	04C1	fruitBranchMoss
0021	04C2	fruitBranchSnow
0022	00F2	BWLog
0023	0007	Sword
0024	0003	Tricky
0025	0005	Kyte
0026	01EE	DFdockpoint
0027	04D5	PadLock
0028	04D6	ExplodingWall
0029	FFFF	NULL
002A	0455	Cannon
002B	0456	CannonBall
002C	033E	N64logo
002D	0487	EnergyGem2
002E	FFFF	NULL
002F	033D	Rarelogo
0030	FFFF	NULL
0031	0239	SHkillermushroo
0032	FFFF	NULL
0033	000A	Club
0034	010E	WCSunStone
0035	010F	WCMoonStone
0036	0107	WCTemplePressur
0037	04DD	EffectBox
0038	0031	Tentacle
0039	FFFF	NULL
003A	0050	Spaceship
003B	04A4	foodbagRedApple
003C	FFFF	NULL
003D	011B	WCApertureSymbo
003E	0453	rgbalight
003F	0444	sidesetup
0040	0488	EnergyGem3
0041	0489	EnergyGem4
0042	011C	WCSunTempleLase
0043	011A	WCAperture
0044	04DF	StaticCamera
0045	01FF	EWTrobotpatrol
0046	04E0	WalkCamera
0047	048A	EnergyGem5
0048	048B	EnergyGem6
0049	0492	BoneDust
004A	0494	ProjectileSpell
004B	04E1	TriggerPoint
004C	04E3	TriggerPlane
004D	04E4	TriggerArea
004E	04E5	TriggerTime
004F	04E6	TriggerButton
0050	04E7	TriggerSetup
0051	0123	WCFloorTile
0052	0122	WCMoonInsideDoo
0053	04EB	DigHole
0054	04E8	TriggerBits
0055	001B	SandSnakes
0056	0219	NWboulder
0057	0217	NWgeyser
0058	0464	WarpPoint
0059	0498	WeaponUp
005A	0499	Duster
005B	0076	Mammoth
005C	04D4	IceBerg1
005D	021D	NWtreebridge
005E	FFFF	NULL
005F	0092	CFBigDoorSwitch
0060	0465	RestartPoint
0061	FFFF	NULL
0062	FFFF	NULL
0063	001F	SnowWormLarge
0064	003E	IceBall
0065	0220	NWmammothsquirt
0066	0467	InvHit
0067	0198	IMIcicle
0068	0077	Trex1
0069	0008	Staff
006A	0238	SHbluemushroom
006B	FFFF	NULL
006C	00CA	CFColumnKnocker
006D	007E	CFbarrel
006E	043F	curve
006F	04ED	GroundQuake
0070	04DE	xyzpoint
0071	0438	WallTorch
0072	019A	IMSnowBike
0073	0468	SecretPoint
0074	0087	CFProjectileFra
0075	0443	sideload
0076	0469	fire
0077	00C0	CFBlastedRoof
0078	0439	Campfire
0079	FFFF	NULL
007A	FFFF	NULL
007B	01F4	DFriverflow
007C	00C4	CFExplodeFloor
007D	0079	Pinecone
007E	001A	SandEels
007F	FFFF	NULL
0080	0000	DummyObject
0081	0218	NWbigrock
0082	FFFF	NULL
0083	00D8	CFForceField
0084	FFFF	NULL
0085	FFFF	NULL
0086	FFFF	NULL
0087	FFFF	NULL
0088	00D9	CFForceFieldCon
0089	0090	CFGoldenPerch
008A	045F	FirePole
008B	01F9	DFSH_Door1Speci
008C	027B	SB_Cloudrunner
008D	0078	Krazoa
008E	027A	SB_Galleon
008F	01F0	DFmoondoor
0090	01F1	DFpodium
0091	01F2	DFpodiumswitch
0092	FFFF	NULL
0093	01E7	DFdebris2
0094	01E0	DFbarrel
0095	01E6	DFcradle
0096	01F3	DFpulley
0097	01E3	DFcavedoor
0098	01E4	DFcavehatch1
0099	00D6	RobotPatrol
009A	027D	SB_Propeller
009B	00E0	CFMainDoorA
009C	00E1	CFMainDoorB
009D	01E5	DFcavehatch2
009E	0490	GuardPass
009F	011D	WCSunTempleMain
00A0	007D	CF_ObjCreator
00A1	011E	WCSunTempleSwit
00A2	011F	WCTempleDial
00A3	01F5	DFropenode
00A4	0120	WCTempleBridge
00A5	0121	WCSunInsideDoor
00A6	FFFF	NULL
00A7	01E2	DFbarrelcreator
00A8	FFFF	NULL
00A9	00DA	RobotAnimPatro2
00AA	01E1	DFbarrelanim
00AB	01E9	DFdebris1
00AC	00DB	RobotBeam
00AD	01F7	DFturbine
00AE	01F8	DFturbinelever
00AF	0462	FireFly
00B0	01EB	DFdebris3
00B1	FFFF	NULL
00B2	01ED	DFdebris3xxxx
00B3	0466	CFDungeonBlock
00B4	00D7	RobotAnimPatrol
00B5	00BA	CFAnimBaby
00B6	FFFF	NULL
00B7	00A0	CFMainSlideDoor
00B8	007B	CloudPrisonCont
00B9	007F	CFPrisonGuard
00BA	008E	CFTreasWindLift
00BB	0460	Beacon
00BC	0072	KytesMum
00BD	00CC	CFseqobject
00BE	0175	DIM2Crystal2
00BF	0073	AnimSharpy
00C0	0080	CFPrisonKey
00C1	0083	CFPrisonDoor
00C2	0086	CFPrisonUncle
00C3	008A	CFGuardian
00C4	008C	CFCageDoor
00C5	008D	CFWindLift
00C6	00DC	RobotLaserFire
00C7	008F	CFWindSwitch
00C8	009B	CFPowerDoor1
00C9	009C	CFPowerDoor2
00CA	009D	CFPowerDoor3
00CB	009E	CFPowerDoor4
00CC	00A1	CFTreasureChest
00CD	00A5	CFCrate
00CE	00A6	CFScalesGalleon
00CF	00AA	CF_AnimSpaceCra
00D0	00AB	CF_GangPlank
00D1	0174	DIM2Crystal
00D2	007C	CloudShipContro
00D3	04BF	FireNut
00D4	0458	FXEmit
00D5	009F	CFSlideDoor1
00D6	0180	DIM2LavaControl
00D7	0461	Krazcol
00D8	0013	GuardClaw
00D9	00AC	CFPowerCrystal1
00DA	00AF	CFPowerBase
00DB	00B0	CFPowerCrystal_
00DC	00B3	CFMainCrystal
00DD	045E	EnvEmitter
00DE	00B4	CFSeqRobotPatro
00DF	00AD	CFPowerCrystal2
00E0	00AE	CFPowerCrystal3
00E1	00B1	CFPowerCrystal_
00E2	00B2	CFPowerCrystal_
00E3	0167	DIM2TrapDoorRig
00E4	00B9	CFCloudBaby
00E5	00DD	RobotBeam2
00E6	00BB	CFTreasureDoor
00E7	00BC	CFTrPuzzleDoor
00E8	00BD	CFPuzzleSwitch
00E9	00BE	LaserBeam
00EA	00BF	CFColumn
00EB	00CB	CFledge
00EC	0463	Transporter
00ED	0290	AnimTest
00EE	0196	IMSeqObject
00EF	0195	IMIceMountain
00F0	FFFF	NULL
00F1	01A7	IMFence
00F2	017F	DIM2StonePillar
00F3	017E	DIM2IceGrateDoo
00F4	04E9	TriggerCurve
00F5	033B	FElevControl
00F6	033C	FEseqobject
00F7	027E	SB_ShipHead
00F8	027F	SB_ShipMast
00F9	0280	SB_ShipGun
00FA	017D	DIM2Icicle
00FB	0306	WM_ObjCreator
00FC	FFFF	NULL
00FD	FFFF	NULL
00FE	FFFF	NULL
00FF	FFFF	NULL
0100	FFFF	NULL
0101	FFFF	NULL
0102	FFFF	NULL
0103	FFFF	NULL
0104	FFFF	NULL
0105	FFFF	NULL
0106	FFFF	NULL
0107	FFFF	NULL
0108	017C	DIM2IceBlock
0109	0163	DIM2IceFloe1
010A	FFFF	NULL
010B	FFFF	NULL
010C	FFFF	NULL
010D	0164	DIM2IceFloe2
010E	FFFF	NULL
010F	FFFF	NULL
0110	0166	DIM2TrapDoorLef
0111	0165	DIM2IceFloe5
0112	04EE	SidekickBall
0113	0282	SB_CannonBall
0114	0283	SB_FireBall
0115	FFFF	NULL
0116	021B	NWalpineroot
0117	021F	NWmammothhelp
0118	015C	DIM2UseObject
0119	0286	SB_CloudBall
011A	FFFF	NULL
011B	FFFF	NULL
011C	FFFF	NULL
011D	00DF	CFIllusionClaw
011E	00CF	CFPowerRoomKey
011F	0088	CFPerch
0120	0287	SB_KyteCage
0121	028B	SB_CageKyte
0122	0288	SB_SeqDoor
0123	00D5	CFPowerRoomKeyA
0124	0085	CFPrisonDoor2
0125	028C	SB_Lamp
0126	017A	DIM2LiftSwitch
0127	0089	CFPrisonCage
0128	0093	CFCageSwitch
0129	0289	SB_SeqDoor2
012A	015F	DIM2FlameHole
012B	0177	DIM2PuzzleDoor
012C	0179	DIM2PuzzleRock
012D	0178	DIM2PuzzleKey
012E	0176	DIM2PuzzleLift
012F	0284	SB_Debris
0130	04EA	Area
0131	0173	DIM2PuzzlePad
0132	017B	DIM2ExplodeWall
0133	0477	ExplodeAnimator
0134	0484	Crate2
0135	0170	DIM2GoldKey
0136	0171	DIM2CellLever
0137	016F	DIM2SilverKey
0138	0285	SB_MiniFire
0139	0305	WL_Galleon
013A	004D	SnowClaw
013B	0304	WLseqobject
013C	0172	DIM2CellLock
013D	0308	WL_deaddino
013E	030B	WL_Door1
013F	030C	WL_Door2
0140	030D	WL_Door3
0141	030E	WL_Door4
0142	0309	WL_LaserBeam
0143	FFFF	NULL
0144	030A	WL_PressureSwit
0145	0313	WL_Column
0146	0314	WL_Column_Top
0147	0221	NWmammothwalk
0148	0224	NWguardiandaugh
0149	0215	NWsfx
014A	04EC	DigTunnel
014B	000C	Projball
014C	016D	DIM2CellDoorLef
014D	0315	WL_LaserTarget
014E	016E	DIM2CellDoorRig
014F	FFFF	NULL
0150	031B	WL_spiritplace
0151	0316	WL_WarpDoor
0152	0158	DIMTruthHornPli
0153	0483	Crate
0154	04DC	KrazoaText
0155	0052	DIM_BossGut
0156	0156	DIMTruthHorn
0157	028F	LevelName
0158	0234	SHqueenearthwal
0159	0235	SHthorntail
015A	0317	WM_Wizard
015B	0231	SHseqobject
015C	FFFF	NULL
015D	031A	WL_colrise
015E	016C	DIM2CellDoorRig
015F	046C	KrystalArms
0160	0475	WallAnimator
0161	031D	WL_podium
0162	031E	WL_podiumgem
0163	031F	WL_AnimPodiumge
0164	0004	AnimTricky
0165	004F	AnimSnowClaw
0166	019F	IMPrisonGate
0167	016B	DIM2CellDoorLef
0168	01A2	IMAnimSpaceCraf
0169	023F	SHmushroomanim
016A	FFFF	NULL
016B	01A0	IMMagicLight
016C	019B	IMSnowClawBike
016D	019D	IMSnowClaw
016E	FFFF	NULL
016F	019C	IMSnowClawBike2
0170	019E	IMSnowClaw2
0171	027C	SB_AnimCR
0172	01A1	IMMagicLightHol
0173	028A	SB_DeckDoor3
0174	0320	WL_Torch
0175	FFFF	NULL
0176	FFFF	NULL
0177	0321	WL_Vein
0178	0322	WL_WallTorch
0179	0323	WL_Worm
017A	0324	WL_Wallpower
017B	FFFF	NULL
017C	049B	EnergyPlant1
017D	049C	EnergyPlant2
017E	0325	WL_LevelControl
017F	015B	DIM2SeqObject
0180	015D	DIM2Conveyor
0181	015E	DIM2FlameBurst
0182	0160	DIM2MammothWhee
0183	0161	DIM2Mammoth
0184	0162	DIM2CellKey
0185	0168	DIM2SnowBall
0186	0169	DIM2PathGenerat
0187	028D	SB_ShipFlag
0188	028E	SB_ShipShadow
0189	0307	WM_GeneralScale
018A	016A	DIM2PrisonMammo
018B	021C	NWalpinerootani
018C	FFFF	NULL
018D	0126	DIMLavaBall
018E	0128	DIMLavaBallGene
018F	0136	DIMSnowHorn1
0190	0137	DIMSnowHornShac
0191	013A	DIMLogFire
0192	013C	DIMSeqObject
0193	FFFF	NULL
0194	0236	SHvines
0195	0223	NWmammothgaurdi
0196	0133	DIMSnowBall
0197	0135	DIMSnowBallGene
0198	023C	SHspore
0199	0241	SHVineDoor
019A	0242	SHBirchTree
019B	046E	WaveAnimator
019C	0341	DFSH_Shrine
019D	0342	DFSH_Spirit
019E	0344	DFSH_ObjCreator
019F	FFFF	NULL
01A0	0345	DFSH_SpiritGift
01A1	FFFF	NULL
01A2	0346	DFSH_Door1
01A3	0347	DFSH_Door2
01A4	0348	DFSH_Door3
01A5	0349	DFSH_Door4
01A6	FFFF	NULL
01A7	0139	DIMShackleKey
01A8	0496	FireSpell
01A9	013D	DIMGate
01AA	0144	DIMDismountPoin
01AB	0145	DIMAlpineRoot
01AC	034C	MMSH_Shrine
01AD	0350	MMSH_Door1
01AE	0351	MMSH_Door2
01AF	0352	MMSH_Door3
01B0	0353	MMSH_Door4
01B1	034D	MMSH_Spirit
01B2	034E	MMSH_Scales
01B3	0470	AlphaAnimator
01B4	FFFF	NULL
01B5	000F	FlameThrowerSpe
01B6	FFFF	NULL
01B7	0010	FlameBall
01B8	0354	scalessword
01B9	0357	ECSH_Shrine
01BA	FFFF	NULL
01BB	035C	ECSH_Door1
01BC	035D	ECSH_Door2
01BD	035E	ECSH_Door3
01BE	035F	ECSH_Door4
01BF	035A	ECSH_Cup
01C0	FFFF	NULL
01C1	FFFF	NULL
01C2	0226	NWminedoor
01C3	FFFF	NULL
01C4	FFFF	NULL
01C5	FFFF	NULL
01C6	FFFF	NULL
01C7	FFFF	NULL
01C8	0148	DIMFlag
01C9	0149	DIMIceWall
01CA	0472	GroundAnimator
01CB	014A	DIMPushBlock
01CC	0244	SHswapstone
01CD	0222	NWguardiandaugh
01CE	0343	DFSH_SpiritPriz
01CF	013B	DIMLogFireRefle
01D0	0340	DFSHcol
01D1	034B	MMSHcol
01D2	FFFF	NULL
01D3	043C	ProjectileSwitc
01D4	0134	DIMBoulder
01D5	014B	DIMCannon
01D6	0151	DIMCannonBall
01D7	0356	ECSHcol
01D8	FFFF	NULL
01D9	034F	MMSH_SpiritPriz
01DA	001E	SnowWormMed
01DB	021E	NWtreebridge2
01DC	0153	DIMTorch
01DD	FFFF	NULL
01DE	FFFF	NULL
01DF	0358	ECSH_SpiritPriz
01E0	0359	ECSH_SpiritCup
01E1	014D	DIMCannonCover1
01E2	014E	DIMCannonCover2
01E3	014F	DIMCannonCover3
01E4	0150	DIMCannonCover4
01E5	FFFF	NULL
01E6	0361	GPSHcol
01E7	0362	GPSH_Shrine
01E8	0363	GPSH_SpiritPriz
01E9	0364	GPSH_Spirit
01EA	0365	GPSH_Door1
01EB	0366	GPSH_Door2
01EC	0367	GPSH_Door3
01ED	0368	GPSH_Door4
01EE	0152	DIMLavaSmash
01EF	FFFF	NULL
01F0	FFFF	NULL
01F1	0369	GPSH_ObjCreator
01F2	FFFF	NULL
01F3	036C	GPSH_Scene
01F4	036D	GPSHpickobjroot
01F5	036E	GPSHpickobjnugg
01F6	036F	GPSHpickobjegg
01F7	0370	GPSHpickobjgem
01F8	0371	GPSHpickobjbarr
01F9	0372	GPSHpickobjplan
01FA	0127	DIMLavaDebris
01FB	035B	ECSH_Spirit
01FC	014C	DIMCannonBase
01FD	0485	BigCrate
01FE	04F0	LockIcon
01FF	0237	SHthorntailanim
0200	0051	DIM_Boss
0201	0375	DBSHcol
0202	0376	DBSH_Shrine
0203	0379	DBSH_SpiritPriz
0204	037A	DBSH_Spirit
0205	037B	DBSH_Door1
0206	037C	DBSH_Door2
0207	037D	DBSH_Door3
0208	037E	DBSH_Door4
0209	FFFF	NULL
020A	049D	foodbagSmall
020B	049E	foodbagMedium
020C	049F	foodbagLarge
020D	0377	DBSH_Symbol
020E	0378	DBSH_Force
020F	0374	DBSH_Krystal
0210	04B4	fruit
0211	04C0	fruitBranch
0212	04A0	foodbagGeneral
0213	012A	DIMBridgeCogAni
0214	FFFF	NULL
0215	FFFF	NULL
0216	0383	NWSH_col
0217	0387	NWSH_Shrine
0218	0388	NWSH_SpiritPriz
0219	0389	NWSH_Spirit
021A	038B	NWSH_Door1
021B	038C	NWSH_Door2
021C	038D	NWSH_Door3
021D	038E	NWSH_Door4
021E	0384	NWSH_colpush
021F	012C	DIMBridgeCog1
0220	0131	DIMBridgeCogMai
0221	0381	NWSH_rock
0222	0382	NWSH_creator
0223	0132	DIMBridge
0224	012D	DIMBridgeCog2
0225	012E	DIMBridgeCog3
0226	012F	DIMBridgeCog4
0227	0130	DIMBridgeCog5
0228	0129	DIMLever
0229	038A	NWSH_Tricky
022A	0380	NWSH_Fire
