0000 SILENCE  [01E6ABCC]
	UNKNOWNFOLDER: 0xFF
	ID: 0xFF
	Vol: 0xFF
	unk3: 0xFF
	unk4: 0xFF
	fadeSpd: 0xFF
	channelMask: 0xFFFF
	channelMask1: 0xFFFF
	channelMask2: 0xFFFF
	notused: 0xFFFFFFFF
	unk10: 0x00000000
	unk14: 0x0000
	unk16: 0x0000
	notused: 0x00000000
	notused: 0x00000000

0001 MUSIC 0032 SwapStone Hollow [01E6ABEC]
	MUSIC: 0x02
	ID: 0x32
	Vol: 0x28
	unk3: 0x00
	unk4: 0x00
	fadeSpd: 0x0A
	channelMask: 0xFFFF
	channelMask1: 0xFFFF
	channelMask2: 0x0000
	notused: 0x00000000
	unk10: 0x00000000
	unk14: 0x000A
	unk16: 0x0050
	notused: 0x00000000
	notused: 0x00000000

0002 AMBIENT 000F Rain, ocassional close drips [01E6AC0C]
	AMBIENT: 0x00
	ID: 0x0F
	Vol: 0x28
	unk3: 0x3C
	unk4: 0x00
	fadeSpd: 0x14
	channelMask: 0xFFFF
	channelMask1: 0xFFFF
	channelMask2: 0x0000
	notused: 0x00000000
	unk10: 0x00000000
	unk14: 0x000A
	unk16: 0x0050
	notused: 0x00000000
	notused: 0x00000000

0003 MUSIC 0008 Hostile Area [01E6AC2C]
	MUSIC: 0x02
	ID: 0x08
	Vol: 0x2D
	unk3: 0x7C
	unk4: 0x00
	fadeSpd: 0x0A
	channelMask: 0xFFFF
	channelMask1: 0xFFFF
	channelMask2: 0x0000
	notused: 0x00000000
	unk10: 0x00000000
	unk14: 0x0000
	unk16: 0x0000
	notused: 0x00000000
	notused: 0x00000000

0004 MUSIC 0032 SwapStone Hollow [01E6AC4C]
	MUSIC: 0x02
	ID: 0x32
	Vol: 0x3F
	unk3: 0x00
	unk4: 0x00
	fadeSpd: 0x1E
	channelMask: 0xFFFF
	channelMask1: 0xFFFF
	channelMask2: 0x0000
	notused: 0x00000000
	unk10: 0x00000000
	unk14: 0x0000
	unk16: 0x0000
	notused: 0x00000000
	notused: 0x00000000

0005 MUSIC 0032 SwapStone Hollow [01E6AC6C]
	MUSIC: 0x02
	ID: 0x32
	Vol: 0x3F
	unk3: 0x00
	unk4: 0x00
	fadeSpd: 0x0F
	channelMask: 0xFFFF
	channelMask1: 0xFFFF
	channelMask2: 0x0000
	notused: 0x00000000
	unk10: 0x00000002
	unk14: 0x0044
	unk16: 0x00DB
	notused: 0x00000000
	notused: 0x00000000

0006 AMBIENT 0018 Rapid close lightning and wind [01E6AC8C]
	AMBIENT: 0x00
	ID: 0x18
	Vol: 0x28
	unk3: 0x3C
	unk4: 0x00
	fadeSpd: 0x0A
	channelMask: 0x0000
	channelMask1: 0xFFFF
	channelMask2: 0xFFFF
	notused: 0x00000000
	unk10: 0x00000000
	unk14: 0x0000
	unk16: 0x0000
	notused: 0x00000000
	notused: 0x00000000

0007 MUSIC 0032 SwapStone Hollow (Set volume lower) [01E6ACAC]
	MUSIC: 0x02
	ID: 0x32
	Vol: 0x28
	unk3: 0x00
	unk4: 0x00
	fadeSpd: 0x1E
	channelMask: 0xFFFF
	channelMask1: 0xFFFF
	channelMask2: 0x0000
	notused: 0x00000000
	unk10: 0x00000000
	unk14: 0x000A
	unk16: 0x0050
	notused: 0x00000000
	notused: 0x00000000

0008 MUSIC 0038 Desert Force Point Temple (More percussions) [01E6ACCC]
	MUSIC: 0x02
	ID: 0x38
	Vol: 0x28
	unk3: 0x68
	unk4: 0x00
	fadeSpd: 0x0A
	channelMask: 0x0000
	channelMask1: 0x0000
	channelMask2: 0x0000
	notused: 0x00000000
	unk10: 0x00000000
	unk14: 0x0000
	unk16: 0x0000
	notused: 0x00000000
	notused: 0x00000000

0009 MUSIC 0032 SwapStone Hollow (Set volume lower) [01E6ACEC]
	MUSIC: 0x02
	ID: 0x32
	Vol: 0x18
	unk3: 0x00
	unk4: 0x00
	fadeSpd: 0x1E
	channelMask: 0xFFFF
	channelMask1: 0xFFFF
	channelMask2: 0x0000
	notused: 0x00000000
	unk10: 0x00000000
	unk14: 0x0000
	unk16: 0x0000
	notused: 0x00000000
	notused: 0x00000000

000A MUSIC 0020 sparse20 [01E6AD0C]
	MUSIC: 0x02
	ID: 0x20
	Vol: 0x1F
	unk3: 0x00
	unk4: 0x00
	fadeSpd: 0x00
	channelMask: 0x0000
	channelMask1: 0x0000
	channelMask2: 0x0000
	notused: 0x00000000
	unk10: 0x00000000
	unk14: 0x0000
	unk16: 0x0000
	notused: 0x00000000
	notused: 0x00000000

000B MUSIC 001A sparse1a [01E6AD2C]
	MUSIC: 0x02
	ID: 0x1A
	Vol: 0x1B
	unk3: 0x00
	unk4: 0x00
	fadeSpd: 0x00
	channelMask: 0x0000
	channelMask1: 0x0000
	channelMask2: 0x0000
	notused: 0x00000000
	unk10: 0x00000000
	unk14: 0x0000
	unk16: 0x0000
	notused: 0x00000000
	notused: 0x00000000

000C MUSIC 0032 SwapStone Hollow [01E6AD4C]
	MUSIC: 0x02
	ID: 0x32
	Vol: 0x3F
	unk3: 0x00
	unk4: 0x00
	fadeSpd: 0x1E
	channelMask: 0xFFFF
	channelMask1: 0xFFFF
	channelMask2: 0x0000
	notused: 0x00000000
	unk10: 0x00000000
	unk14: 0x0000
	unk16: 0x0000
	notused: 0x00000000
	notused: 0x00000000

000D MUSIC 0040 Discovery Falls (Outside) [01E6AD6C]
	MUSIC: 0x02
	ID: 0x40
	Vol: 0x3F
	unk3: 0x00
	unk4: 0x00
	fadeSpd: 0x1E
	channelMask: 0x03FF
	channelMask1: 0xFFFF
	channelMask2: 0x0000
	notused: 0x00000000
	unk10: 0x00000000
	unk14: 0x0000
	unk16: 0x0000
	notused: 0x00000000
	notused: 0x00000000

000E MUSIC 0040 Discovery Falls (Cave) [01E6AD8C]
	MUSIC: 0x02
	ID: 0x40
	Vol: 0x3F
	unk3: 0x00
	unk4: 0x00
	fadeSpd: 0x1E
	channelMask: 0xFC04
	channelMask1: 0xFFFF
	channelMask2: 0x0000
	notused: 0x00000000
	unk10: 0x00000000
	unk14: 0x0000
	unk16: 0x0000
	notused: 0x00000000
	notused: 0x00000000

000F AMBIENT 0016 Moon Mountain Pass Ambience [01E6ADAC]
	AMBIENT: 0x00
	ID: 0x16
	Vol: 0x32
	unk3: 0x00
	unk4: 0x00
	fadeSpd: 0x1E
	channelMask: 0xFFFF
	channelMask1: 0xFFFF
	channelMask2: 0x0000
	notused: 0x00000000
	unk10: 0x00000000
	unk14: 0x0000
	unk16: 0x0000
	notused: 0x00000000
	notused: 0x00000000

0010 MUSIC 000C CloudRunner Fortress (Inside) [01E6ADCC]
	MUSIC: 0x02
	ID: 0x0C
	Vol: 0x2D
	unk3: 0x62
	unk4: 0x00
	fadeSpd: 0x01
	channelMask: 0xFFFF
	channelMask1: 0xFFFF
	channelMask2: 0x0000
	notused: 0x00000000
	unk10: 0x00000000
	unk14: 0x0000
	unk16: 0x0000
	notused: 0x00000000
	notused: 0x00000000

0011 AMBIENT 0010 Deeper rain, ocassional close drips [01E6ADEC]
	AMBIENT: 0x00
	ID: 0x10
	Vol: 0x4E
	unk3: 0x00
	unk4: 0x00
	fadeSpd: 0x02
	channelMask: 0xFFFF
	channelMask1: 0xFFFF
	channelMask2: 0x0000
	notused: 0x00000000
	unk10: 0x00000000
	unk14: 0x004B
	unk16: 0x0113
	notused: 0x00000000
	notused: 0x00000000

0012 MUSIC 0012 SwapStone Hollow [01E6AE0C]
	MUSIC: 0x02
	ID: 0x12
	Vol: 0x64
	unk3: 0x00
	unk4: 0x00
	fadeSpd: 0x0F
	channelMask: 0x1FFF
	channelMask1: 0xFFFF
	channelMask2: 0x0000
	notused: 0x00000000
	unk10: 0x00000000
	unk14: 0x0000
	unk16: 0x0000
	notused: 0x00000000
	notused: 0x00000000

0013 AMBIENT 001B Rain/waves, creaking [01E6AE2C]
	AMBIENT: 0x00
	ID: 0x1B
	Vol: 0x32
	unk3: 0x00
	unk4: 0x00
	fadeSpd: 0x1E
	channelMask: 0xFFFF
	channelMask1: 0xFFFF
	channelMask2: 0x0000
	notused: 0x00000000
	unk10: 0x00000000
	unk14: 0x0000
	unk16: 0x0088
	notused: 0x00000000
	notused: 0x00000000

0014 AMBIENT 001F Unnatural wind [01E6AE4C]
	AMBIENT: 0x00
	ID: 0x1F
	Vol: 0x32
	unk3: 0x3C
	unk4: 0x00
	fadeSpd: 0x01
	channelMask: 0x0000
	channelMask1: 0xFFFF
	channelMask2: 0xFFFF
	notused: 0x00000000
	unk10: 0x00000000
	unk14: 0x0000
	unk16: 0x0000
	notused: 0x00000000
	notused: 0x00000000

0015 AMBIENT 0022 Birds, loons, etc. [01E6AE6C]
	AMBIENT: 0x00
	ID: 0x22
	Vol: 0x23
	unk3: 0x9E
	unk4: 0x00
	fadeSpd: 0x0C
	channelMask: 0x001F
	channelMask1: 0xFFFF
	channelMask2: 0x0000
	notused: 0x00000000
	unk10: 0x00000000
	unk14: 0x0000
	unk16: 0x0000
	notused: 0x00000000
	notused: 0x00000000

0016 AMBIENT 0022 Birds, loons, etc. [01E6AE8C]
	AMBIENT: 0x00
	ID: 0x22
	Vol: 0x23
	unk3: 0x9E
	unk4: 0x00
	fadeSpd: 0x0C
	channelMask: 0x0061
	channelMask1: 0xFFFF
	channelMask2: 0x0000
	notused: 0x00000000
	unk10: 0x00000000
	unk14: 0x0000
	unk16: 0x0000
	notused: 0x00000000
	notused: 0x00000000

0017 AMBIENT 0022 Birds, loons, etc. [01E6AEAC]
	AMBIENT: 0x00
	ID: 0x22
	Vol: 0x00
	unk3: 0x9E
	unk4: 0x00
	fadeSpd: 0x0C
	channelMask: 0x401F
	channelMask1: 0xFFFF
	channelMask2: 0x0000
	notused: 0x00000000
	unk10: 0x00000000
	unk14: 0x0000
	unk16: 0x0000
	notused: 0x00000000
	notused: 0x00000000

0018 AMBIENT 0019 Campfire crackling (Stop) [01E6AECC]
	AMBIENT: 0x00
	ID: 0x19
	Vol: 0x00
	unk3: 0x9E
	unk4: 0x00
	fadeSpd: 0x0C
	channelMask: 0x0061
	channelMask1: 0xFFFF
	channelMask2: 0x0000
	notused: 0x00000000
	unk10: 0x00000000
	unk14: 0x000A
	unk16: 0x0050
	notused: 0x00000000
	notused: 0x00000000

0019 AMBIENT 0026 Generic rain (Stop) [01E6AEEC]
	AMBIENT: 0x00
	ID: 0x00
	Vol: 0x00
	unk3: 0x00
	unk4: 0x00
	fadeSpd: 0x00
	channelMask: 0x0000
	channelMask1: 0x0000
	channelMask2: 0x0000
	notused: 0x00000000
	unk10: 0x00000000
	unk14: 0x0000
	unk16: 0x0000
	notused: 0x00000000
	notused: 0x00000000

001A MUSIC 0025 Snow Bike Slope Race (No vocals) [01E6AF0C]
	MUSIC: 0x02
	ID: 0x25
	Vol: 0x2D
	unk3: 0x9E
	unk4: 0x00
	fadeSpd: 0x1E
	channelMask: 0xFFFF
	channelMask1: 0xFFFF
	channelMask2: 0x0000
	notused: 0x00000000
	unk10: 0x00000000
	unk14: 0x0000
	unk16: 0x0000
	notused: 0x00000000
	notused: 0x00000000

001B MUSIC 0040 Discovery Falls (Volume lowered) [01E6AF2C]
	MUSIC: 0x02
	ID: 0x40
	Vol: 0x20
	unk3: 0x00
	unk4: 0x00
	fadeSpd: 0x1E
	channelMask: 0x03FF
	channelMask1: 0xFFFF
	channelMask2: 0x0000
